TAZ,CostIIF,CostXXF,CostIXF,CostHBW,CostHBO,CostNHB,CostREC,CostXXP,TimeDiff,TotalFreigh,TotalPass,TotalREC,TotalHBW,TotalHBO,TotalNHB,TotalItime,TotalBtime,TotalTDiff
7262,42.12309832,0,0,0,0,0,0,0,13213.04,253.47,0,0.51,675.79,2184.82,713.55,193326185.3,193339398.3,114693530.4
7263,1607.693744,0,0,0,0,0,0,0,13213.04,9014.46,0,0.03,103.63,293.51,133.81,193323527.3,193336740.3,114706743.5
7264,603.2763992,0,0,0,0,0,0,0,13213.04,3491.89,0,0.19,291.07,944.47,896.31,193331492.4,193344705.4,114719956.5
7265,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,71.07,195.4,201.33,193336550.8,193349763.9,114733169.6
7266,463.818947,0,0,0,0,0,0,0,13213.04,2723.34,0,0.01,51.06,161.85,585.4,193333550.2,193346763.2,114746382.6
7267,0,0,0,0,0,0,0,0,13213.04,0,0,0,5.62,14.53,59.85,193334405.6,193347618.6,114759595.6
7268,0,0,0,0,0,0,0,0,13213.04,13.67,0,0,1.56,4.53,124.74,193336193.6,193349406.7,114772808.7
7269,155.547397,0,0,0,0,0,0,0,13213.04,876.93,0,0.01,12.54,38.77,22.17,193282643.8,193295856.9,114786021.7
7270,0,0,0,0,0,0,0,0,13213.04,1.53,0,0.04,130.46,360.04,99.53,193316564.3,193329777.3,114799234.8
7271,0,0,0,0,0,0,0,0,13213.04,7.34,0,0.01,76.93,216.27,109.82,193321805.3,193335018.3,114812447.8
7272,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,43.43,155.97,33.1,193321151.7,193334364.7,114825660.8
7273,42.12309832,0,0,0,0,0,0,0,13213.04,249.05,0,0.15,235.48,817.91,207.87,193336059.1,193349272.2,114838873.9
7274,278.3050316,0,0,0,0,0,0,0,13213.04,1604.39,0,0.08,122.21,378.68,592.28,193334383.8,193347596.9,114852086.9
7275,42.12309832,0,0,0,0,0,0,0,13213.04,249.03,0,0,53.11,150.29,99.2,193334412.9,193347625.9,114865300
7276,0,0,0,0,0,0,0,0,13213.04,0,0,0,14.2,54.19,24.2,193314855.6,193328068.7,114878513
7277,26.42536504,0,0,0,0,0,0,0,13213.04,163,0,0.06,89.56,292.97,68.62,193321753.7,193334966.8,114891726
7278,42.12309832,0,0,0,0,0,0,0,13213.04,249.07,0,0.09,164.23,474.78,148.42,193321324.8,193334537.9,114904939.1
7279,117.7174125,0,0,0,0,0,0,0,13213.04,671.98,0,0.03,76.31,232.11,87.67,193329221.8,193342434.8,114918152.1
7280,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,0,193316512,193329725,114931365.2
7281,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,24.5,62.12,171.34,193323813.2,193337026.3,114944578.2
7282,59.70004577,0,0,0,0,0,0,0,13213.04,368.39,0,0,29.34,111.32,296.1,193331449.3,193344662.3,114957791.2
7283,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,39.94,125.49,37.03,193372223.4,193385436.5,114971004.3
7284,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,24.59,64.77,27.81,193341403.8,193354616.8,114984217.3
7285,0,0,0,0,0,0,0,0,13213.04,0,0,0,33.76,94.89,35.95,193343828.9,193357041.9,114997430.4
7286,85.91899954,0,0,0,0,0,0,0,13213.04,261.57,0,0.1,127.24,439.71,96.5,193280235.6,193293448.7,115010643.4
7287,1562.144399,0,0,0,0,0,0,0,13213.04,8439.38,0,0.1,167.35,466.7,334.83,193290648.2,193303861.2,115023856.4
7288,16153.20608,0,0,0,0,0,0,0,13213.04,90200.32,0,0.01,13.42,77.72,605.24,193304227.5,193317440.5,115037069.5
7289,77.12082144,0,0,0,0,0,0,0,13213.04,261.66,0,0,0,0,0,193317323.8,193330536.9,115050282.5
7290,74.9928145,0,0,0,0,0,0,0,13213.04,261.55,0,0,20.81,49.06,17.31,193320940.6,193334153.7,115063495.6
7291,128.1400434,0,0,0,0,0,0,0,13213.04,395.68,0,0,6.64,30.88,2.19,193282266.6,193295479.7,115076708.6
7292,70.97953888,0,0,0,0,0,0,0,13213.04,411.69,0,0.11,174.4,526.01,204.37,193287770.7,193300983.7,115089921.6
7293,59.70004577,0,0,0,0,0,0,0,13213.04,359.13,0,0.12,187.04,513.67,239.07,193299011.5,193312224.5,115103134.7
7294,788.8804451,0,0,0,0,0,0,0,13213.04,4425.25,0,0.1,128.42,416.04,339.53,193306884.9,193320098,115116347.7
7295,78.96263511,0,0,0,0,0,0,0,13213.04,261.69,0,0,18.08,62.98,16.19,193313724.4,193326937.5,115129560.8
7296,0,0,0,0,0,0,0,0,13213.04,1.52,0,0.05,90.73,217.07,94.93,193318323.5,193331536.6,115142773.8
7297,0,0,0,0,0,0,0,0,13213.04,3.59,0,0.16,280.45,743.95,344.29,193318252.7,193331465.7,115155986.8
7298,51.01076281,0,0,0,0,0,0,0,13213.04,340.46,0,0,1.12,2.16,321.11,193333140.8,193346353.9,115169199.9
7299,75.62742071,0,0,0,0,0,0,0,13213.04,261.48,0,0,12.98,29.26,6.61,193338165.1,193351378.1,115182412.9
7300,0,0,0,0,0,0,0,0,13213.04,0,0,0,12.32,38.34,9.75,193346276.2,193359489.3,115195626
7301,192.2694507,0,0,0,0,0,0,0,13213.04,758.27,0,0.25,383.38,1155.97,510.11,193303981.6,193317194.6,115208839
7302,0,0,0,0,0,0,0,0,13213.04,0,0,0.15,234.22,619.21,253.45,193300001.3,193313214.4,115222052
7303,146.573166,0,0,0,0,0,0,0,13213.04,835.4,0,0.13,244.54,595.42,312.71,193310887.9,193324100.9,115235265.1
7304,12.77293678,0,0,0,0,0,0,0,13213.04,83.1,0,0.11,198.74,474.74,201.21,193312979,193326192,115248478.1
7305,46.38967538,0,0,0,0,0,0,0,13213.04,490.18,0,0.14,259.22,546.74,973.02,193321344.5,193334557.6,115261691.2
7306,0.93977884,0,0,0,0,0,0,0,13213.04,136.28,0,0.51,628.54,1666.49,1490.93,193331339.1,193344552.1,115274904.2
7307,0,0,0,0,0,0,0,0,13213.04,0,0,0.03,93.22,215.8,51.78,193299606.8,193312819.9,115288117.2
7308,0,0,0,0,0,0,0,0,13213.04,1.52,0,0.06,135.2,321.35,138.75,193305029.5,193318242.5,115301330.3
7309,0,0,0,0,0,0,0,0,13213.04,3.6,0,0.02,28.21,53.18,44.64,193315629,193328842.1,115314543.3
7310,183.0612841,0,0,0,0,0,0,0,13213.04,1030.77,0,0.34,500.12,1324.19,497.41,193319082.6,193332295.7,115327756.4
7311,100.0897103,0,0,0,0,0,0,0,13213.04,328.67,0,0.09,152.54,425.05,125.42,193336826.6,193350039.7,115340969.4
7312,620.8776935,0,0,0,0,0,0,0,13213.04,3253.47,0,0,0.63,1.54,55.37,193350307.8,193363520.8,115354182.4
